,English,Cross,2024,2025,2026,Culture,Geo,H & S,STEM,Single,Multi,False-premise
GPT-5 mini medium,447,473,491.9,436.1,424.7,455.6,447.6,493.8,483,440.2,559,549.4
GPT-5 medium,1803.9,2112.9,1835.3,2013.2,1914.4,2007,1972.4,1912.4,1737.2,1834.9,2426.7,2415.7
gpt-oss-120b,425,445.7,461,442,370.7,453,424,430.5,404,411.6,565.1,505.6
DeepSeek-R1,343.7,380,373.6,359.5,324.6,357.6,350.5,368.7,391.3,357.6,351.4,433.2
